VCD info: dumpfile t_flipflop.vcd opened for output.
Time=0 | CLK=0 | T=0 | Q=x | Q_bar=x
Time=5 | CLK=1 | T=0 | Q=x | Q_bar=x
Time=10 | CLK=0 | T=1 | Q=x | Q_bar=x
Time=15 | CLK=1 | T=1 | Q=x | Q_bar=x
Time=20 | CLK=0 | T=1 | Q=x | Q_bar=x
Time=25 | CLK=1 | T=1 | Q=x | Q_bar=x
Time=30 | CLK=0 | T=0 | Q=x | Q_bar=x
Time=35 | CLK=1 | T=0 | Q=x | Q_bar=x
Time=40 | CLK=0 | T=1 | Q=x | Q_bar=x
Time=45 | CLK=1 | T=1 | Q=x | Q_bar=x
Time=50 | CLK=0 | T=1 | Q=x | Q_bar=x
Time=55 | CLK=1 | T=1 | Q=x | Q_bar=x
